學年度,學期,設立別,學校類型,學校代碼,學校名稱,系所代碼,系所名稱,學制,對方國別,對方學校名稱,對方學校英文名稱,總計,男生,女生
103,2,公立,一般大學,9,國立中山大學,340310,管理學院國際經營管理碩士學程,碩士班(日間),南韓,漢城科技整合學校,Technologies(aSSIST),1,0,1
103,2,公立,一般大學,9,國立中山大學,340310,管理學院國際經營管理碩士學程,碩士班(日間),瑞士,蘇黎世應用科學大學管理與法律學院,University of Applied Sciences Winterthur,1,0,1
103,2,公立,一般大學,12,國立臺灣海洋大學,840114,運輸科學系,碩士班(日間),中國大陸,集美大學,Jimei University,3,3,0
103,2,公立,一般大學,13,國立中正大學,340301,企業管理學系,碩士班(日間),日本,千葉商科大學,Chiba University of Commerce,1,1,0
103,2,公立,一般大學,13,國立中正大學,340301,企業管理學系,碩士班(日間),中國大陸,北京外國語大學,Beijing Foreign Studies University,1,1,0
103,2,公立,一般大學,13,國立中正大學,340301,企業管理學系,碩士班(日間),南韓,成均館大學,Sungkyunkwan University,3,0,3
103,2,公立,一般大學,13,國立中正大學,220901,歷史學系,碩士班(日間),中國大陸,中山大學,Sun Yat-sen University,1,0,1
103,2,公立,一般大學,13,國立中正大學,220901,歷史學系,碩士班(日間),中國大陸,中國人民大學,Renmin University of China,1,1,0
103,2,公立,一般大學,13,國立中正大學,310201,政治學系,碩士班(日間),中國大陸,北京外國語大學,Beijing Foreign Studies University,1,0,1
103,2,公立,一般大學,13,國立中正大學,520126,通訊工程學系,碩士班(日間),美國,紐約州立大學安尼昂塔分校,Suny Oneonta,1,1,0
103,2,公立,一般大學,13,國立中正大學,311003,勞工關係學系,碩士班(日間),德國,奧斯特法利亞應用科技大學,Ostfalia University of applied Sciences,1,0,1
103,2,公立,一般大學,13,國立中正大學,320102,傳播學系,碩士班(日間),南韓,高麗大學,Korea University,1,0,1
103,2,公立,一般大學,12,國立臺灣海洋大學,520226,機械與機電工程學系,碩士班(日間),中國大陸,福州大學,FuZhou University,1,1,0
103,2,公立,一般大學,12,國立臺灣海洋大學,440202,應用地球科學研究所,碩士班(日間),中國大陸,中國海洋大學,Ocean University of China,1,1,0
103,2,公立,一般大學,12,國立臺灣海洋大學,521001,河海工程學系,碩士班(日間),中國大陸,福州大學,FuZhou University,1,0,1
103,2,公立,一般大學,12,國立臺灣海洋大學,521001,河海工程學系,碩士班(日間),美國,加州大學洛杉磯分校,"University of California, Los Angeles",1,1,0
103,2,公立,一般大學,12,國立臺灣海洋大學,520214,輪機工程學系,碩士班(日間),中國大陸,美律實業,"Merry Electronics co.,LTD.",1,1,0
103,2,公立,一般大學,12,國立臺灣海洋大學,840114,運輸科學系,碩士班(日間),英國,雪菲爾大學,The University of Sheffield,1,0,1
103,2,公立,一般大學,15,國立彰化師範大學,340301,企業管理學系,碩士班(日間),美國,加洲州立大學福雷斯諾分校,"California State University, Fresno",1,1,0
